id,calmar,pnl,max_dd,sharpe,win_rate,trade_count,avg_ttr,topN,windowDays,f1Anchor,f1Max,w2,w3,f4Boost,maxTtrDays
7a5c45e7c8c27ad831bfabfe86d567ae,1280.3243,109313.81,85.38,2.6183,0.5160,53382,-0.3,10,60,20,5,0,0.5,1,30
309b69540459e0d95c1fbc0dacafb109,1258.7288,90818.57,72.15,2.5841,0.5157,51779,-0.3,5,30,100,3,0.3,0.5,1.5,30
750dc20549d97d294bcf538578a2564f,1247.8692,108972.48,87.33,2.5568,0.5038,70727,-0.3,10,30,20,5,0.3,1,2,14
e6709811ce475dcbcc6583409ed85e87,1226.6611,58847.82,47.97,3.1840,0.4901,46414,-0.4,5,30,100,3,0,0,2,3
6d271781195697514e5ba3e287479490,1226.6611,58847.82,47.97,3.1840,0.4901,46414,-0.4,5,30,100,3,0,0,2,3
f281d991177c9b3b75138cf9cde1b080,1217.1624,100719.75,82.75,2.6147,0.5183,51386,-0.2,10,60,500,5,0.6,1,1,30
57891c641d9e91130a9824d069e4ab6a,1217.1279,72455.25,59.53,2.7053,0.4929,42068,-0.4,5,30,500,5,0.6,0,2,3
200ba1bcf32b4a387bb610c0bc84a292,1203.4142,83096.82,69.05,2.7087,0.5055,51762,-0.3,5,30,500,3,0.6,0.5,1.5,14
1b40fafd8ee9737732e8ed7397ca22e2,1199.8999,86399.47,72.01,2.1576,0.5159,65146,-0.3,5,14,500,3,0,1,1.5,14
c267e888352f6a830aca447b6c45468b,1191.0521,95764.75,80.40,2.4857,0.5214,57436,-0.2,20,30,20,5,0.6,1,2,14
84f82890fd4c115cba65be2d3156b2e1,1153.2567,75256.51,65.26,2.3301,0.5187,63674,-0.3,5,14,100,3,0,0.5,2,7
04457acf9f721c1f1e571448cd26ed36,1132.7487,89345.14,78.87,2.3346,0.5117,63687,-0.2,10,30,20,3,0,1,1.5,
2827da0d56c5fc5fa614f6f1a02343a6,1131.4370,81008.82,71.60,2.4521,0.5189,47769,-0.4,5,14,100,5,0.3,0.5,1,3
c747a787b4b4e6c8bff9b4f7259ed81e,1128.5481,91432.76,81.02,2.5033,0.5251,56328,-0.2,20,30,20,5,0.6,1,1.5,30
621f3eb0df959417629307bb54ac41ed,1127.7038,67344.57,59.72,2.3728,0.5190,63502,-0.3,5,14,20,3,0.3,0,1,7
bdc36052608b04c9cb54d05e2b01e3be,1127.6192,86193.04,76.44,2.3967,0.5159,51637,-0.3,5,30,500,5,0,0.5,1,30
775ed008d77d1bbec38ca8d19509dab4,1119.0457,81199.60,72.56,2.5974,0.5237,64214,-0.3,5,14,100,3,0.6,0.5,1.5,30
520e53d2b4e0e565d5ac024be8b1efa5,1118.9278,92855.65,82.99,2.3886,0.5249,56800,-0.2,20,14,20,5,0.6,1,2,7
0402782abf0c29e59e41e810fc34ede6,1118.1308,76855.85,68.74,2.3352,0.5174,64386,-0.3,5,14,100,3,0,0.5,1.5,14
74a423da4c2dd9bec6880fb93d515b03,1107.3535,76116.01,68.74,2.2502,0.5027,39102,-0.4,10,60,100,3,0.3,1,2,3
5a2889ddc66f12bd071ae4c8cbd855c7,1094.9091,85055.15,77.68,2.6925,0.5107,54139,-0.3,10,60,20,5,0.6,0,1.5,14
a6cc4c8fd336eda117db66f20da40caa,1084.2611,72784.79,67.13,2.7306,0.5128,41237,-0.3,5,60,500,5,0.6,0.5,2,7
0ec2b2599305ea43317462f0ae016f91,1074.5109,82347.01,76.64,2.6363,0.5003,24543,-0.5,5,60,20,5,0,0.5,1.5,3
39614e883ea92891d57da2f41145992a,1069.5201,81493.50,76.20,2.3909,0.5091,54677,-0.3,10,60,20,3,0.3,0.5,1,14
701d6a84ee240e247586674b22818417,1066.3675,82059.78,76.95,2.4146,0.5159,53544,-0.3,10,60,20,3,0.3,0.5,1,30
d0a0e0b63d1aab2f10b19e673c2c6409,1058.2872,72397.53,68.41,2.5591,0.5173,65083,-0.3,5,14,100,5,0.3,0,1,14
